timestamp,open,high,low,close
1706029200000,1.08282,1.0836,1.08237,1.08315
1706032800000,1.08311,1.084,1.0829,1.08371
1706036400000,1.08372,1.0848,1.0834,1.08451
1706040000000,1.0845,1.085,1.0842,1.08497
1706043600000,1.08499,1.0856,1.0847,1.0854
1706047200000,1.0854,1.0857,1.08399,1.08523
1706050800000,1.08506,1.0861,1.08506,1.08572
1706054400000,1.08573,1.086,1.0854,1.08558
1706058000000,1.08559,1.086,1.085,1.08579
1706061600000,1.08577,1.0859,1.0852,1.0857
1706065200000,1.08571,1.0863,1.0855,1.08588
1706068800000,1.08592,1.0866,1.0857,1.08643
1706072400000,1.0865,1.0865,1.0858,1.08619
1706076000000,1.08617,1.0867,1.0859,1.08634
1706079600000,1.08633,1.08795,1.086,1.08732
1706083200000,1.08733,1.088,1.08624,1.08697
1706086800000,1.08701,1.09076,1.08689,1.09028
1706090400000,1.09026,1.0905,1.0893,1.08977
1706094000000,1.08977,1.09015,1.089,1.08928
1706097600000,1.08923,1.09,1.0886,1.08947
1706101200000,1.08946,1.0928,1.0892,1.09244
1706104800000,1.09248,1.09322,1.09015,1.09034
1706108400000,1.0903,1.0908,1.0892,1.09008
1706112000000,1.09009,1.09053,1.0889,1.09004
1706115600000,1.09,1.0909,1.0894,1.0904
1706119200000,1.09053,1.09061,1.0889,1.08927
1706122800000,1.08926,1.0894,1.088,1.08882
1706126400000,1.08883,1.08906,1.0877,1.08797
1706130000000,1.08798,1.0886,1.0876,1.08841
1706133600000,1.08841,1.0889,1.08763,1.0886
1706137200000,1.08858,1.0888,1.088,1.08811
1706140800000,1.08807,1.08813,1.0871,1.08741
1706144400000,1.08742,1.08788,1.0869,1.08776
1706148000000,1.08779,1.08801,1.0873,1.0875
1706151600000,1.08773,1.0882,1.0876,1.08776
1706155200000,1.08778,1.08813,1.0873,1.08753
1706158800000,1.08753,1.088,1.0873,1.08779
1706162400000,1.08784,1.0887,1.0875,1.08861
1706166000000,1.08858,1.08913,1.0882,1.08877
1706169600000,1.08879,1.09,1.0882,1.08986
1706173200000,1.08987,1.09,1.0891,1.08959
1706176800000,1.08958,1.0899,1.089,1.08927
1706180400000,1.08929,1.0896,1.0885,1.08947
1706184000000,1.0895,1.0896,1.0885,1.08881
1706187600000,1.08882,1.09019,1.08666,1.08791
1706191200000,1.08786,1.08786,1.0852,1.08603
1706194800000,1.08602,1.08614,1.0828,1.08319
1706198400000,1.08316,1.08397,1.08232,1.08362
1706202000000,1.08363,1.08519,1.08305,1.08374
1706205600000,1.08374,1.08466,1.0828,1.08302
1706209200000,1.08301,1.0838,1.0821,1.08359
1706212800000,1.08359,1.08405,1.0832,1.08399
1706216400000,1.08395,1.0848,1.0838,1.08464
1706220000000,1.08464,1.0849,1.08341,1.08464
1706223600000,1.08462,1.0849,1.0842,1.08453
1706227200000,1.08456,1.0846,1.0836,1.0838
1706230800000,1.08396,1.08466,1.0838,1.08443
1706234400000,1.08441,1.085,1.0842,1.0844
1706238000000,1.0844,1.0848,1.0842,1.08448
1706241600000,1.08447,1.0846,1.0836,1.08395
1706245200000,1.08394,1.0844,1.0837,1.08423
1706248800000,1.08424,1.08428,1.0827,1.08293
1706252400000,1.08292,1.0831,1.0811,1.0819
1706256000000,1.08192,1.08421,1.0817,1.08402
1706259600000,1.08403,1.08505,1.0833,1.08443
1706263200000,1.08443,1.08663,1.0843,1.08648
